"","ortho","klatt","neighbors","degree","c"
"15923","soccer","sakX","lakX;rakX;saki;sak;sadX;s^kX",6,0.133333333333333
"15924","sociability","soSxbIl|ti","",0,NA
"15925","sociable","soSxbL","",0,NA
"15926","sociably","soSxbli","",0,NA
"15927","social","soSL","",0,NA
"15928","socialistic","soSxlIstIk","",0,NA
"15929","socialization","soSLxzeS|n","",0,NA
"15930","socialize","soSxlYz","",0,NA
"15931","society","s|sYxti","",0,NA
"15932","sociology","sosialxJi","",0,NA
"15933","sock","sak","bak;Cak;kak;dak;hak;nak;lak;mak;pak;sam;rak;s@k;sek;saki;sik;Sak;sIk;smak;sok;sab;sakX;sad;sap;sat;stak;s^k",26,0.255384615384615
"15934","socket","sak|t","sRk|t;dak|t;lak|t;pak|t;rak|t;san|t",6,0.4
"15935","sod","sad","sid;kad;gad;had;nad;ad;pad;sam;rad;s@d;sEd;Sad;sYd;sab;sak;sadN;sadX;sap;sat;wad",20,0.278947368421053
"15936","soda","sodx","kodx;sofx",2,0
"15937","sodden","sadN","s@dN;sad;sadX;s^dN",4,0.333333333333333
"15938","sodium","sodixm","podixm;rodixm",2,1
"15939","soever","soEvX","sEvX",1,NA
"15940","sofa","sofx","sodx",1,NA
"15941","soft","scft","lcft;cft;sclt;sIft;sct",5,0.2
"15942","softball","scftbcl","",0,NA
"15943","soften","scfxn","kcfxn;dcfxn;cfxn;sYfxn",4,0.5
"15944","soggy","sagi","sagx;saki;sari",3,0.333333333333333
"15945","soil","sOl","bOl;sEl;kOl;mOl;Ol;sel;sil;sIl;sol;sO;spOl;tOl;vOl",13,0.320512820512821
"15946","soiree","sware","mware",1,NA
"15947","sojourn","soJRn","sotRn",1,NA
"15948","sol","sol","bol;sEl;kol;dol;fol;gol;hol;nol;mol;pol;rol;sel;sil;so;son;Sol;sIl;sok;sop;sor;sOl;solX;sold;soli;solo;stol;Tol;tol;vol",29,0.29064039408867
"15949","solace","salxs","salxm",1,NA
"15950","solar","solX","bolX;sElX;dolX;molX;polX;rolX;selX;sobX;sol;sold;solJX;soli;solo",13,0.217948717948718
"15951","solarium","sxl@rixm","",0,NA
"15952","sold","sold","bold;kold;fold;gold;hold;mold;old;skold;sol;solX;soli;solo;sord;told;wold",15,0.40952380952381
"15953","solder","sadX","sidX;sYdX;dadX;fadX;sakX;sad;sadN",7,0.142857142857143
"15954","soldier","solJX","solX",1,NA
"15955","solecism","sal|sIzM","",0,NA
"15956","solely","soli","goli;holi;moli;s@li;sIli;sol;solX;sold;solo;s^li;sRli",11,0.272727272727273
"15957","solemn","salxm","slalxm;salxs",2,0
"15958","solemnity","sxlEmn|ti","",0,NA
"15959","solemnization","salxmn|zeS|n","",0,NA
"15960","solemnize","salxmnYz","",0,NA
"15961","solemnly","salxmli","salxdli",1,NA
"15962","soles","soles","",0,NA
"15963","solicit","sxlIs|t","xlIs|t",1,NA
"15964","solid","sal|d","",0,NA
"15965","solidarity","salxd@rxti","",0,NA
"15966","solidify","sxlIdxfY","",0,NA
"15967","solidity","sxlId|ti","vxlId|ti",1,NA
"15968","solidly","salxdli","salxmli;stalxdli",2,0
"15969","soliloquize","sxlIlxkwYz","",0,NA
"15970","solitaire","sal|tEr","",0,NA
"15971","solo","solo","bolo;polo;s@lo;sYlo;slo;sol;solX;sold;soli",9,0.277777777777778
"15972","solstice","solst|s","",0,NA
"15973","solstitial","salstISL","",0,NA
"15974","solubility","salyubIl|ti","valyubIl|ti",1,NA
"15975","soluble","salyubL","valyubL",1,NA
"15976","solution","sxluS|n","",0,NA
"15977","solve","sclv","sclt",1,NA
"15978","solvency","sclvxnsi","",0,NA
"15979","somalo","sxmalo","",0,NA
"15980","somber","sambX","",0,NA
"15981","sombrero","sxmbrEro","",0,NA
"15982","some","s^m","b^m;C^m;k^m;d^m;g^m;h^m;m^m;n^m;sam;r^m;sem;sk^m;sim;sl^m;s^n;s^b;s^C;s^k;s^mX;s^G;s^p;sw^m;T^m",23,0.264822134387352
"15983","somebody","s^mbadi","",0,NA
"15984","somersault","s^mXsclt","",0,NA
"15985","something","s^mTIG","",0,NA
"15986","somnolent","samnLxnt","",0,NA
"15987","son","s^n","b^n;d^n;f^n;g^n;h^n;n^n;w^n;p^n;r^n;sen;sin;sEn;son;S^n;sYn;sIn;s^m;sun;sp^n;st^n;s^b;s^C;s^k;s^G;s^p;t^n",26,0.289230769230769
"15988","sonar","sonar","",0,NA
"15989","sonata","sxnatx","",0,NA
"15990","song","scG","gcG;lcG;s@G;scs;sc;sIG;sct;s^G;TcG;tcG;rcG",11,0.290909090909091
"15991","sonic","sanIk","kanIk;sInIk;YanIk;sinIk;tanIk",5,0.4
"15992","sonnet","san|t","ban|t;sEn|t;sak|t",3,0
"15993","sonority","sNcrxti","sXcrxti",1,NA
"15994","sonorous","sNorxs","",0,NA
"15995","soon","sun","bun;kun;dun;Jun;lun;mun;nun;run;sen;sin;sEn;suX;son;sYn;sIn;s^n;suT;suD;sup;spun;su;sut;swun;tun",24,0.264492753623188
"15996","soot","sUt","sYt;fUt;pUt;s@t;set;sit;sEt;sIt;sat;sct;sut",11,0.672727272727273
"15997","sooth","suT","buT;suX;sluT;sun;suD;sup;sWT;su;sut;tuT;yuT",11,0.327272727272727
"15998","soothe","suD","sYD;siD;suX;smuD;sun;suT;sup;su;sut",9,0.444444444444444
"15999","soothsayer","suTseX","",0,NA
"16000","sop","sap","Cap;kap;fap;hap;lap;map;pap;sam;s@p;sip;Sap;sIp;slap;sop;sab;sak;sad;sat;sup;stap;s^p;swap;tap",23,0.260869565217391
"16001","sophism","safIzM","",0,NA
"16002","sophistic","safIstIk","",0,NA
"16003","sophisticated","sxfIst|ket|d","",0,NA
"16004","sophistry","safxstri","",0,NA
"16005","soporific","sapXIfIk","",0,NA
"16006","soprano","sxpr@no","",0,NA
"16007","sorcery","sorsXi","",0,NA
"16008","sordid","sord|d","",0,NA
"16009","sorghum","sorgxm","",0,NA
"16010","sorority","sXcrxti","sNcrxti",1,NA
"16011","sorrel","scrL","crL;kcrL;lcrL;mcrL",4,1
"16012","sorrow","saro","baro;maro;sari",3,0.333333333333333
"16013","sorry","sari","saki;sagi;saro;spri",4,0.166666666666667
"16014","sort","sort","xsort;kort;fort;port;Sort;snort;sor;sorti;sors;sport;swort;sord;tort;wort",14,0.252747252747253
"16015","sortie","sorti","forti;sort",2,0
"16016","sot","sat","bat;sYt;kat;dat;gat;hat;Jat;nat;lat;pat;sam;rat;s@t;set;skat;sit;sEt;Sat;sIt;slat;sab;sak;sad;sUt;sap;sct;spat;sut;swat;tat;wat;yat",32,0.296370967741935
"16017","soubrette","subrEt","",0,NA
"16018","souffle","sufle","",0,NA
"16019","sough","sW","bW;si;CW;kW;dW;hW;mW;nW;sc;se;skW;so;sY;sR;sWr;sWs;sWT;sO;su;DW;vW",21,0.323809523809524
"16020","sought","sct","ct;bct;kct;sYt;fct;gct;nct;sclt;s@t;set;scs;scte;sc;sit;sEt;sIt;scft;scG;sUt;sat;sut;tct;Tct;rct",24,0.27536231884058
"16021","soulless","sollxs","",0,NA
"16022","sound","sWnd","bWnd;fWnd;hWnd;mWnd;pWnd;rWnd;s@nd;sEnd;sXWnd;wWnd",10,0.488888888888889
"16023","soup","sup","kup;dup;hup;lup;pup;s@p;skup;sip;suX;sIp;slup;snup;sop;sun;suT;suD;sap;stup;su;sut;s^p;swup",22,0.225108225108225
"16024","sour","sWr","dWr;Wr;lWr;skWr;sIr;sYr;sor;sW;sWs;sWT",10,0.2
"16025","source","sors","kors;fors;gors;hors;nors;sor;sort;sord",8,0.464285714285714
"16026","souse","sWs","sis;hWs;lWs;mWs;scs;sW;sWr;sWT",8,0.25
"16027","south","sWT","mWT;suT;sW;sWr;sWs",5,0.3
"16028","southeast","sWTist","",0,NA
"16029","southerly","s^DXli","",0,NA
"16030","southern","s^DXn","",0,NA
"16031","southward","sWTwXd","",0,NA
"16032","southwest","sWTwEst","",0,NA
"16033","souvenir","suvxnIr","",0,NA
"16034","sovereign","savXxn","",0,NA
"16035","soviet","sovi|t","",0,NA
"16036","soy","sO","bO;si;kO;JO;sc;se;so;sY;sR;sOl;sW;su;tO",13,0.435897435897436
"16037","spa","spa","pa;spar;spe;spat;spR;spY",6,0.266666666666667
"16038","space","spes","xpes;pes;sped;spet;spe;spYs",6,0.266666666666667
"16039","spaceship","spesSIp","",0,NA
"16040","spacious","speS|s","spiS|s",1,NA
"16041","spade","sped","ped;spes;spet;spe;spEd;spid;sp^d;sted;swed",9,0.194444444444444
"16042","spaghetti","spxgEti","",0,NA
"16043","span","sp@n","p@n;sk@n;sp@t;spcn;spIn;spYn;spun;sp^n;spRn",9,0.416666666666667
"16044","spangle","sp@GgL","",0,NA
"16045","Spaniard","sp@nyXd","",0,NA
"16046","spaniel","sp@nyL","",0,NA
"16047","Spanish","sp@nIS","",0,NA
"16048","spank","sp@Gk","s@Gk;sp^Gk;st@Gk;sw@Gk",4,0.5
"16049","spar","spar","par;skar;spa;spEr;spark;spars;spIr;spYr;spUr;spor;spat;star",12,0.196969696969697
"16050","spare","spEr","pEr;skEr;snEr;spar;spIr;spEk;spEd;spEl;spYr;spUr;spor;stEr;swEr",13,0.243589743589744
"16051","sparing","sp@rIG","p@rIG;sprIG",2,0
"16052","spark","spark","park;spar;sparkL;spars;stark",5,0.1
"16053","sparkle","sparkL","spark",1,NA
"16054","sparrow","sp@ro","",0,NA
"16055","sparse","spars","pars;spar;spark",3,0.333333333333333
"16056","spasm","sp@zM","",0,NA
"16057","spasmodic","sp@zmadIk","",0,NA
"16058","spastic","sp@stIk","",0,NA
"16059","spat","sp@t","p@t;s@t;sl@t;sp@n;spet;sp@tX;spIt;spYt;spat;spWt;spr@t;spRt",12,0.257575757575758
"16060","spate","spet","pet;set;sXet;sket;slet;spes;sped;sp@t;spe;spIt;spYt;spat;spWt;spRt;stet",15,0.276190476190476
"16061","spatial","speSL","spESL",1,NA
"16062","spatter","sp@tX","p@tX;sk@tX;sp@t;spl@tX;sp^tX",5,0
"16063","spatula","sp@CUlx","",0,NA
"16064","spavin","sp@vxn","",0,NA
"16065","spawn","spcn","pcn;sp@n;spIn;spYn;spun;sp^n;spRn;xpcn",8,0.571428571428571
"16066","spay","spe","Epe;pe;se;sle;spa;spes;sped;spet;sple;spre;spR;spY;ste;swe",14,0.175824175824176
"16067","speak","spik","xpik;pik;sik;slik;snik;spEk;spiC;spid;spYk;spok;spuk",11,0.218181818181818
"16068","spear","spIr","xpIr;pIr;sIr;smIr;snIr;spar;spEr;sfIr;spIl;spIn;spYr;spIt;spUr;spor;stIr",15,0.238095238095238
"16069","special","spESL","IspESL;speSL",2,0
"16070","specialization","spESLxzeS|n","",0,NA
"16071","specialty","spESLti","",0,NA
"16072","specie","spiSi","spiSiz",1,NA
"16073","species","spiSiz","spiSi",1,NA
"16074","specific","spxsIfIk","pxsIfIk",1,NA
"16075","specification","spEs|f|keS|n","",0,NA
"16076","specify","spEs|fY","",0,NA
"16077","specimen","spEsxmxn","",0,NA
"16078","specious","spiS|s","speS|s",1,NA
"16079","speck","spEk","pEk;spEr;spik;spEd;spEl;spYk;spok;spuk",8,0.321428571428571
"16080","spectacle","spEktIkL","",0,NA
"16081","spectacular","spEkt@kyUlX","",0,NA
"16082","spectator","spEktetX","",0,NA
"16083","spectre","spEktX","sEktX",1,NA
"16084","spectroscope","spEktroskop","",0,NA
"16085","spectroscopic","spEktroskapIk","",0,NA
"16086","spectrum","spEktrxm","",0,NA
"16087","speculate","spEkyUlet","",0,NA
"16088","speculation","spEkyUleS|n","pEkyUleS|n",1,NA
"16089","speculative","spEkyUletIv","",0,NA
"16090","sped","spEd","sEd;slEd;sped;spEr;spEk;spid;spEl;spEnd;sprEd;sp^d;stEd",11,0.163636363636364
"16091","speech","spiC","piC;spik;spid",3,0.333333333333333
"16092","speed","spid","sid;sped;spik;spEd;spiC;sp^d;stid;swid",8,0.25
"16093","speedometer","spIdamxtX","pIdamxtX",1,NA
"16094","speedway","spidwe","",0,NA
"16095","spell","spEl","sEl;smEl;spEr;spEk;spEd;spIl;spOl;spul;swEl",9,0.25
"16096","spelunker","spIl^GkX","",0,NA
"16097","spend","spEnd","xpEnd;sEnd;spEd;spEnt;^pEnd",5,0.1
"16098","spendthrift","spEndTrIft","",0,NA
"16099","spent","spEnt","sEnt;pEnt;spEnd",3,0.333333333333333
"16100","sperm","spRm","spR;spRJ;spRn;spRt",4,1
"16101","spermatozoon","spRmxtxzoxn","",0,NA
"16102","spew","spyu","pyu;skyu;spyum",3,0
"16103","sphere","sfIr","fIr;sIr;smIr;snIr;spIr;stIr",6,0.733333333333333
"16104","spherical","sfIrIkL","",0,NA
"16105","spheroid","sfIrOd","sfIrOdL",1,NA
"16106","spheroidal","sfIrOdL","sfIrOd",1,NA
"16107","sphincter","sfIGktX","",0,NA
"16108","sphinx","sfIGks","",0,NA
"16109","spice","spYs","pYs;slYs;spes;spYk;spYn;spYr;spYt;splYs;spY",9,0.305555555555556
"16110","spicule","spIkyul","",0,NA
"16111","spider","spYdX","sYdX",1,NA
"16112","spigot","spIgxt","",0,NA
"16113","spike","spYk","pYk;spik;spEk;spYs;spYn;spYr;spYt;spok;spuk;spY",10,0.355555555555556
"16114","spill","spIl","pIl;sIl;skIl;spIr;spEl;spIld;spIlt;spIn;spIt;spOl;spul;stIl;swIl",13,0.192307692307692
"16115","spilled","spIld","spIl;spIlt;spOld",3,0.333333333333333
"16116","spillway","spIlwe","",0,NA
"16117","spilt","spIlt","sIlt;spIl;spIld;spIt;spOlt;stIlt",6,0.2
"16118","spin","spIn","pIn;sIn;skIn;sp@n;spcn;spIr;spIl;spYn;spIt;spun;sp^n;spRn",12,0.303030303030303
"16119","spinach","spInIC","",0,NA
"16120","spinal","spYnL","spYn;spYrL",2,0
"16121","spindle","spIndL","swIndL",1,NA
"16122","spindling","spIndlIG","",0,NA
"16123","spine","spYn","opYn;pYn;sYn;sp@n;spcn;spYs;spYk;spIn;spYnL;spYr;spYt;spun;sp^n;spRn;spY;stYn;sUpYn;swYn",18,0.196078431372549
"16124","spinet","spIn|t","spIr|t",1,NA
"16125","spinster","spInstX","",0,NA
"16126","spiral","spYrL","spYnL;spYr",2,0
"16127","spire","spYr","xspYr;pYr;sYr;spar;spEr;spIr;spYs;spYk;spYn;spYrL;spYt;spUr;spor;spY",14,0.230769230769231
"16128","spirit","spIr|t","spIn|t",1,NA
"16129","spiritual","spIrICuL","",0,NA
"16130","spiritualism","spIrICuxlIzM","",0,NA
"16131","spiritualistic","spIrICuxlIstIk","",0,NA
"16132","spirituality","spIrICU@lxti","",0,NA
"16133","spiritualize","spIrICuxlYz","",0,NA
"16134","spirituous","spIrICUxs","",0,NA
"16135","spirochete","spYrxkit","",0,NA
"16136","spit","spIt","pIt;sIt;skIt;slIt;sp@t;spet;spIr;spIl;spIlt;spIn;spYt;spItL;splIt;spat;spWt;spRt",16,0.2
"16137","spite","spYt","sYt;slYt;smYt;sp@t;spet;spYs;spYk;spYn;spYr;spIt;spat;spWt;sprYt;spRt;spY",15,0.266666666666667
"16138","spittle","spItL","spIt",1,NA
"16139","spittoon","spItun","",0,NA
"16140","splash","spl@S","pl@S;sl@S",2,1
"16141","splatter","spl@tX","pl@tX;sp@tX;spl^tX",3,0
"16142","splay","sple","ple;sle;spe;spre",4,0.5
"16143","spleen","splin","selin",1,NA
"16144","splendid","splEnd|d","",0,NA
"16145","splendor","splEndX","slEndX",1,NA
"16146","splenetic","splInEtIk","",0,NA
"16147","splenic","splinIk","",0,NA
"16148","splice","splYs","slYs;spYs",2,1
"16149","splint","splInt","splIntX;splIt;sprInt",3,0
"16150","splinter","splIntX","splInt",1,NA
"16151","split","splIt","slIt;spIt;splInt",3,0.333333333333333
"16152","splotch","splaC","",0,NA
"16153","splurge","splRJ","spRJ",1,NA
"16154","splutter","spl^tX","spl@tX;sp^tX",2,0
"16155","spoil","spOl","sOl;spEl;spIl;spOld;spOlt;spul",6,0.266666666666667
"16156","spoiled","spOld","spIld;spOl;spOlt",3,0.333333333333333
"16157","spoilt","spOlt","spIlt;spOl;spOld",3,0.333333333333333
"16158","spoke","spok","pok;smok;sok;spik;spEk;spYk;spuk;spor;stok",9,0.277777777777778
"16159","spoken","spok|n","",0,NA
"16160","spokesman","spoksmxn","",0,NA
"16161","spoliation","spolieS|n","",0,NA
"16162","sponge","sp^nJ","sp^n",1,NA
"16163","sponsor","spansX","",0,NA
"16164","spontaneity","spant|nixti","",0,NA
"16165","spontaneous","spantenixs","",0,NA
"16166","spontaneously","spanteni|sli","",0,NA
"16167","spoof","spuf","spuk;spul;spun",3,1
"16168","spook","spuk","spik;spEk;spYk;spok;spuf;spul;spun",7,0.428571428571429
"16169","spool","spul","pul;skul;spEl;spIl;spOl;spuf;spuk;spun;stul",9,0.194444444444444
"16170","spoon","spun","sun;sp@n;spcn;spIn;spYn;spuf;spuk;spul;sp^n;spRn;swun",11,0.345454545454545
"16171","spoor","spUr","spar;spEr;spIr;spYr;spor",5,1
"16172","sporadic","spX@dIk","",0,NA
"16173","spore","spor","por;skor;snor;sor;spar;spEr;spIr;spYr;spok;spUr;sport;stor;swor",13,0.269230769230769
"16174","sport","sport","xport;port;snort;sort;spor;sxport;swort",7,0.285714285714286
"16175","sportsman","sportsmxn","",0,NA
"16176","spot","spat","pat;skat;slat;sat;spa;spar;sp@t;spet;spIt;spYt;spWt;spRt;swat",13,0.294871794871795
"16177","spousal","spWzL","IspWzL",1,NA
"16178","spout","spWt","pWt;skWt;snWt;sp@t;spet;spIt;spYt;spat;sprWt;spRt;stWt",11,0.327272727272727
"16179","sprain","spren","spre;stren",2,0
"16180","sprang","spr@G","spr@t;sprIG;spr^G",3,0.333333333333333
"16181","sprat","spr@t","sp@t;spr@G;sprYt;sprWt",4,0.166666666666667
"16182","sprawl","sprcl","skrcl",1,NA
"16183","spray","spre","pre;spe;sple;spren;spri;sprY;stre",7,0.0952380952380952
"16184","spread","sprEd","spEd",1,NA
"16185","spree","spri","Ispri;aspri;sari;spre;sprY",5,0.2
"16186","sprig","sprIg","prIg;sprIG",2,0
"16187","sprightly","sprYtli","",0,NA
"16188","spring","sprIG","sp@rIG;spr@G;sprIg;spr^G;strIG",5,0.1
"16189","springtime","sprIGtYm","",0,NA
"16190","sprinkle","sprIGkL","",0,NA
"16191","sprint","sprInt","prInt;splInt",2,0
"16192","sprite","sprYt","spYt;spr@t;sprWt;sprY;^prYt",5,0.1
"16193","sprocket","sprak|t","",0,NA
"16194","sprout","sprWt","spWt;spr@t;sprYt",3,0.333333333333333
"16195","spruce","sprus","",0,NA
"16196","sprung","spr^G","spr@G;sprIG;str^G",3,0.333333333333333
"16197","spry","sprY","prY;spre;spri;sprYt;spY",5,0.1
"16198","spud","sp^d","sk^d;sped;spEd;spid;sp^n;st^d",6,0.266666666666667
"16199","spume","spyum","spyu",1,NA
"16200","spun","sp^n","p^n;s^n;sp@n;spcn;spIn;spYn;sp^nJ;spun;sp^d;spRn;st^n",11,0.309090909090909
"16201","spunk","sp^Gk","p^Gk;sk^Gk;sl^Gk;sp@Gk;st^Gk;s^Gk",6,0.466666666666667
"16202","spur","spR","pR;sR;slR;spa;spe;spRm;spRJ;spRn;spRt;spY;stR",11,0.236363636363636
"16203","spurge","spRJ","pRJ;skRJ;sRJ;spRm;splRJ;spR;spRn;spRt",8,0.285714285714286
"16204","spurious","spyUrixs","",0,NA
"16205","spurn","spRn","IpRn;sp@n;spcn;spRm;spIn;spYn;spun;sp^n;spR;spRJ;spRt;stRn",12,0.318181818181818
"16206","spurt","spRt","pRt;skRt;sp@t;spet;spRm;spIt;spYt;spat;spWt;spR;spRJ;spRn",12,0.318181818181818
"16207","sputter","sp^tX","p^tX;sp@tX;spl^tX;st^tX",4,0
"16208","sputum","spyutM","",0,NA
"16209","spy","spY","IspY;pY;sY;skY;slY;spa;spe;spYs;spYk;spYn;spYr;spYt;sprY;spR;stY",15,0.19047619047619
"16210","squab","skwab","skwabL;skwad;skwaS;skwat;skwIb;swab",6,0.2
"16211","squabble","skwabL","skwab",1,NA
"16212","squad","skwad","kwad;skwab;skwaS;skwat;skwId",5,0.3
"16213","squadron","skwadrxn","",0,NA
"16214","squalid","skwalxd","",0,NA
"16215","squall","skwcl","skrcl;skwc;skwck;skwil",4,0.166666666666667
"16216","squalor","skwalX","skalX",1,NA
"16217","squander","skwandX","",0,NA
"16218","square","skwEr","skEr;skwYr;swEr",3,0.333333333333333
"16219","squash","skwaS","kwaS;skwab;skwad;skwat;swaS",5,0.4
"16220","squat","skwat","skat;skwab;skwad;skwaS;skwRt;swat",6,0.266666666666667
"16221","squaw","skwc","skwcl;skwck",2,1
"16222","squawk","skwck","skwcl;skwc;skwik",3,0.333333333333333
"16223","squeak","skwik","skwck;skwil;skwiz",3,0.333333333333333
"16224","squeal","skwil","skwcl;skwik;skwiz",3,0.333333333333333
"16225","squeamish","skwimIS","",0,NA
"16226","squeegee","skwiJi","",0,NA
"16227","squeeze","skwiz","skwik;skwil",2,1
"16228","squelch","skwElC","",0,NA
"16229","squib","skwIb","skwab;skwId",2,0
"16230","squid","skwId","kwId;skId;skwad;skwIb",4,0
"16231","squint","skwInt","",0,NA
"16232","squire","skwYr","xkwYr;EskwYr;kwYr;skwEr",4,0.166666666666667
"16233","squirm","skwRm","skwRL;skwRt",2,1
"16234","squirrel","skwRL","skwRm;skwRt",2,1
"16235","squirt","skwRt","kwRt;skRt;skwat;skwRm;skwRL",5,0.1
"16236","stab","st@b","sk@b;sl@b;st@k;st@f;st@g;st^b;t@b",7,0.19047619047619
"16237","stabile","stebYl","",0,NA
"16238","stability","stxbIl|ti","sutxbIl|ti",1,NA
"16239","stabilization","stebLxzeS|n","",0,NA
"16240","stabilize","stebxlYz","stebxlYzX",1,NA
"16241","stabilizer","stebxlYzX","stebxlYz",1,NA
"16242","stable","stebL","sebL;stepL;st^bL;tebL",4,0.166666666666667
"16243","staccato","st|kato","",0,NA
"16244","stack","st@k","xt@k;s@k;sl@k;sm@k;sn@k;st@b;st@f;st@g;stek;stck;st@Gk;stIk;stak;stok;st^k;t@k",16,0.216666666666667
"16245","stadium","stedixm","",0,NA
"16246","staff","st@f","st@b;st@k;st@g;stIf;st^f",5,0.4
"16247","stag","st@g","s@g;sl@g;sn@g;st@b;st@k;st@f;st@gX;sw@g;t@g",9,0.277777777777778
"16248","stage","steJ","seJ;steJi;sted;sten;stek;stel;stet;stev;ste;stuJ;sweJ",11,0.4
"16249","stagger","st@gX","st@g;st@mX;st@CX;sw@gX",4,0.166666666666667
"16250","staging","steJIG","",0,NA
"16251","stagnant","st@gn|nt","",0,NA
"16252","stagnate","st@gnet","",0,NA
"16253","stagnation","st@gneS|n","",0,NA
"16254","stagy","steJi","steJ;staJi",2,0
"16255","staid","sted","sped;steJ;sten;stek;stel;stet;stev;ste;stEd;stid;stUd;st^d;swed",13,0.358974358974359
"16256","stain","sten","xten;sen;sken;slen;steJ;sted;stek;stel;stet;stev;ste;stYn;stRn;ston;stren;st^n;swen",17,0.242647058823529
"16257","stair","stEr","skEr;snEr;spEr;star;stEd;stIr;stEm;stEp;stErL;stor;swEr;tEr",12,0.181818181818182
"16258","stake","stek","sek;slek;snek;st@k;steJ;sted;sten;stel;stck;stet;stev;ste;stIk;stak;stok;st^k;tek",17,0.294117647058824
"16259","stalactite","st|l@ktYt","",0,NA
"16260","stale","stel","sel;skel;snel;steJ;sted;sten;stek;stcl;stet;stev;ste;stil;stYl;stIl;stol;stul;tel",17,0.294117647058824
"16261","stalk","stck","st@k;stek;stckt;stcl;stIk;stak;stok;st^k;tck",9,0.416666666666667
"16262","stalked","stckt","stck",1,NA
"16263","stall","stcl","@tcl;smcl;stel;stck;stil;stYl;stIl;stol;stul;tcl",10,0.355555555555556
"16264","stallion","st@lyxn","|t@lyxn;sk@lyxn",2,0
"16265","stalwart","stclwXt","",0,NA
"16266","stamen","stemxn","",0,NA
"16267","stamina","st@mxnx","",0,NA
"16268","staminate","stemxn|t","",0,NA
"16269","stammer","st@mX","st@gX;st@mp;st@CX",3,0.333333333333333
"16270","stamp","st@mp","sk@mp;st@mX;st^mp;t@mp",4,0
"16271","stampede","st@mpid","",0,NA
"16272","stance","st@ns","st@nd",1,NA
"16273","stanch","stcnC","stEnC",1,NA
"16274","stanchion","st@nC|n","",0,NA
"16275","stand","st@nd","s@nd;st@ns;str@nd",3,0
"16276","standard","st@ndXd","",0,NA
"16277","standardization","st@ndXdxzeS|n","",0,NA
"16278","standardize","st@ndXdYz","",0,NA
"16279","standby","st@ndbY","",0,NA
"16280","standpipe","st@ndpYp","",0,NA
"16281","stank","st@Gk","s@Gk;sp@Gk;st@k;stIGk;st^Gk;sw@Gk;t@Gk",7,0.238095238095238
"16282","stanza","st@nzx","",0,NA
"16283","staphylococcus","st@fLokakxs","",0,NA
"16284","staple","stepL","stebL;stipL;stIpL",3,0.333333333333333
"16285","star","star","skar;spar;stEr;starC;stark;start;starv;stIr;stak;stap;stor;tar",12,0.181818181818182
"16286","starboard","starbXd","",0,NA
"16287","starch","starC","star;stark;start;starv",4,1
"16288","starfish","starfIS","",0,NA
"16289","stark","stark","spark;star;starC;start;starv;stak;stork",7,0.333333333333333
"16290","starling","starlIG","starvlIG",1,NA
"16291","start","start","smart;star;starC;stark;startL;starv;tart",7,0.285714285714286
"16292","startle","startL","start",1,NA
"16293","starvation","starveS|n","",0,NA
"16294","starve","starv","star;starC;stark;start",4,1
"16295","starveling","starvlIG","starlIG",1,NA
"16296","state","stet","Istet;set;sXet;sket;slet;spet;steJ;sted;sten;stek;stel;stev;ste;stot;stWt;stret",16,0.266666666666667
"16297","stateroom","stetrum","",0,NA
"16298","statesman","stetsmxn","",0,NA
"16299","static","st@tIk","",0,NA
"16300","station","steS|n","sYteS|n;steS|nX",2,0
"16301","stationary","steS|nEri","",0,NA
"16302","stationer","steS|nX","steS|n",1,NA
"16303","statistician","st@t|stIS|n","",0,NA
"16304","statistics","st|tIstIks","",0,NA
"16305","statuary","st@CuEri","",0,NA
"16306","statue","st@Cu","st@CX;st@Cut",2,0
"16307","statuesque","st@CuEsk","",0,NA
"16308","statuette","st@CUEt","",0,NA
"16309","stature","st@CX","st@gX;st@mX;st@Cu",3,0.333333333333333
"16310","status","st@t|s","",0,NA
"16311","statute","st@Cut","st@Cu",1,NA
"16312","statutory","st@Cxtori","",0,NA
"16313","stave","stev","sev;slev;steJ;sted;sten;stek;stel;stet;ste;stov",10,0.488888888888889
"16314","staves","st@vz","",0,NA
"16315","stay","ste","scte;se;sle;spe;steJ;sted;sten;stek;stel;stet;stev;stu;stR;sto;stre;stY;swe",17,0.242647058823529
"16316","stead","stEd","sEd;slEd;spEd;sted;stEr;stEdi;stid;stEm;stEp;stUd;st^d",11,0.218181818181818
"16317","steady","stEdi","stEd;st^di;stRdi",3,0.333333333333333
"16318","steal","stil","sil;stel;stcl;stim;stid;stip;stYl;stIl;stol;stul;til",11,0.345454545454545
"16319","stealth","stElT","stElX",1,NA
"16320","steam","stim","skim;sim;stil;stid;stip;stEm;strim;tim",8,0.178571428571429
"16321","steed","stid","sid;spid;sted;stEd;stil;stim;stip;stUd;st^d;swid",10,0.266666666666667
"16322","steelyard","stilyard","",0,NA
"16323","steep","stip","sip;slip;stil;stim;stid;stipL;stEp;stup;stap;swip",10,0.2
"16324","steeple","stipL","sipL;stepL;stip;stIpL",4,0.166666666666667
"16325","steer","stIr","cstIr;sIr;smIr;snIr;spIr;sfIr;stEr;star;stIk;stIf;stIl;stIG;stIC;stor;tIr",15,0.228571428571429
"16326","steerage","stIrIJ","storIJ",1,NA
"16327","steersman","stIrzmxn","",0,NA
